videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,6,,0,AA,0,0,0,0,3200.0000,,41672788,2017-04-09T13:01:55.56,0,0,2017-04-09T12:51:53.697,pdu2740013568,19天23时32分,0,,0,10,0,1,25,3,2017-04-09T10:04:27,0,4000.0000,1,0,0,2000-01-01T00:00:00,
0,0,10,,0,AA,0,0,0,0,3768.0000,,41671091,2017-04-09T12:59:36.873,0,0,2017-04-09T12:31:57.037,pdu5813515603,19天23时21分,0,,0,10,0,2,22,3,2017-04-07T18:01:32,0,4750.0000,1,0,0,2000-01-01T00:00:00,
0,0,11,,0,AA,0,0,0,0,2970.0000,,41670354,2017-04-09T13:00:27.62,0,0,2017-04-09T12:31:30.57,pdu5262461781,19天23时15分,0,,0,10,0,2,34,3,2017-04-09T12:08:03,0,4000.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,3370.0000,,41674995,2017-04-09T13:02:34.59,0,0,2017-04-09T13:02:32.51,pdu8548581704,19天23时47分,0,,0,10,0,2,34,3,2016-09-05T12:22:41,0,4000.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,3200.0000,,41673593,2017-04-09T13:01:56.25,0,0,2017-04-09T12:52:21.093,pdu1744230320,19天23时39分,0,,0,10,0,1,36,3,2016-05-10T17:21:38,0,4000.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,0.0000,,41675105,2017-04-09T13:02:29.377,0,0,2017-04-09T13:02:26.963,pdu1715757318,2017/4/9,0,,0,11,0,1,33,6,2017-04-08T21:02:07,0,1000.0000,1,0,0,2017-04-09T13:02:29.903,
0,0,9,,0,AA,0,0,0,0,2068.0000,,41669776,2017-04-09T13:00:25.45,0,0,2017-04-09T12:33:11.4,pdu4273716278,19天23时10分,0,,0,10,0,1,27,3,2017-01-24T14:24:51,0,3000.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,2870.0000,,41674840,2017-04-09T13:02:35.363,0,0,2017-04-09T13:02:33.48,pdu1600422714,19天23时46分,0,,0,10,0,1,35,3,2017-03-10T08:19:34,0,3500.0000,1,0,0,2000-01-01T00:00:00,
0,0,10,2016-09-11T12:32:48.23,8747.5100,B,0,0,4,0,0.0000,,41675036,2017-04-09T13:02:33.347,12,0,2017-04-09T13:02:25.23,pdu1576031462,2017/4/9,0,,7976.3200,18,3,1,27,6,2016-07-30T09:35:39,0,803.0000,1,0,0,2017-04-09T13:02:33.993,
0,0,6,,0,AA,0,0,0,0,2200.0000,,41672863,2017-04-09T13:01:53.96,0,0,2017-04-09T12:51:54.543,rong1774676,19天23时33分,0,,0,10,1,2,27,3,2015-07-31T16:00:54,0,3000.0000,1,0,0,2000-01-01T00:00:00,
